incnum,dtreported,stnum,stname1,stname2,loctype,ra,offensecode,offense,X,Y,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
5041841,12/21/2005 10:56:00 PM,XX,HEATH ST,,,NA,220,BURGLARY/BREAKING AND ENTERING,-71.09492,42.39485,25,017,350104,1400000US25017350104,25017350104,3501.04,CT,917458,1616
6005902,02/22/2006 08:24:00 AM,XX,HEATH ST,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.09492,42.39485,25,017,350104,1400000US25017350104,25017350104,3501.04,CT,917458,1616
10002679,01/26/2010 12:48:00 PM,XX,LOWDEN AVE,,S,86,23F,THEFT FROM MOTOR VEHICLE,-71.11495,42.39846,25,017,350400,1400000US25017350400,25017350400,3504,CT,600540,0
15022846,05/18/2015 07:11:47 PM,XX,MAIN ST,,S,36,23F,THEFT FROM MOTOR VEHICLE,-71.09941,42.39689,25,017,350104,1400000US25017350104,25017350104,3501.04,CT,917458,1616
9013136,04/16/2009 07:58:00 AM,XX,MAIN ST,,S,36,23F,THEFT FROM MOTOR VEHICLE,-71.09941,42.39689,25,017,350104,1400000US25017350104,25017350104,3501.04,CT,917458,1616
8013316,04/21/2008 08:46:00 AM,XX,MARION ST,,S,58,23F,THEFT FROM MOTOR VEHICLE,-71.10153,42.37735,25,017,351203,1400000US25017351203,25017351203,3512.03,CT,407690,0
10025567,07/31/2010 12:38:00 PM,XX,MARSHALL ST,,S,41,23F,THEFT FROM MOTOR VEHICLE,-71.09476,42.38983,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
10012270,04/18/2010 01:54:00 PM,XX,MARSHALL ST,,S,41,240,MOTOR VEHICLE THEFT,-71.09476,42.38983,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
11001733,01/15/2011 09:29:00 PM,XX,MARSHALL ST,,S,41,220,BURGLARY/BREAKING AND ENTERING,-71.09476,42.38983,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
14009393,03/27/2014 01:13:21 PM,XX,MARSHALL ST,,S,41,220,BURGLARY/BREAKING AND ENTERING,-71.09476,42.38983,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
8030742,08/30/2008 06:41:00 PM,XX,MARSHALL ST,,S,41,23F,THEFT FROM MOTOR VEHICLE,-71.09476,42.38983,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
9035715,09/26/2009 05:16:00 PM,XX,MARSHALL ST,,S,41,220,BURGLARY/BREAKING AND ENTERING,-71.09476,42.38983,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
8031958,09/08/2008 03:21:00 PM,XX,MEDFORD ST,,S,26,23F,THEFT FROM MOTOR VEHICLE,-71.08821,42.37466,25,017,351500,1400000US25017351500,25017351500,3515,CT,1388605,0
7028092,08/03/2007 11:01:00 AM,XX,MEDFORD ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.08821,42.37466,25,017,351500,1400000US25017351500,25017351500,3515,CT,1388605,0
8031963,09/08/2008 04:11:00 PM,XX,MEDFORD ST,,S,26,23F,THEFT FROM MOTOR VEHICLE,-71.08821,42.37466,25,017,351500,1400000US25017351500,25017351500,3515,CT,1388605,0
8022680,07/02/2008 06:00:00 PM,XX,MYRTLE ST,,S,15,220,BURGLARY/BREAKING AND ENTERING,-71.08365,42.38388,25,017,351404,1400000US25017351404,25017351404,3514.04,CT,418512,0
10017358,05/27/2010 11:01:00 AM,XX,MYRTLE ST,,S,15,23F,THEFT FROM MOTOR VEHICLE,-71.08365,42.38388,25,017,351404,1400000US25017351404,25017351404,3514.04,CT,418512,0
9041922,11/12/2009 08:42:00 PM,XX,OAK ST,,S,28,220,BURGLARY/BREAKING AND ENTERING,-71.09912,42.37527,25,017,351203,1400000US25017351203,25017351203,3512.03,CT,407690,0
14006175,02/24/2014 10:43:40 AM,XX,OAK ST,,S,28,23F,THEFT FROM MOTOR VEHICLE,-71.09912,42.37527,25,017,351203,1400000US25017351203,25017351203,3512.03,CT,407690,0
6030817,09/04/2006 11:56:00 AM,XX,OSSIPEE RD,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.12437,42.40417,25,017,350600,1400000US25017350600,25017350600,3506,CT,516247,0
8015025,05/05/2008 05:07:00 PM,XX,PEARL ST,,S,12,120,ROBBERY,-71.08356,42.38445,25,017,351403,1400000US25017351403,25017351403,3514.03,CT,367182,0
7015149,05/04/2007 06:03:00 AM,XX,PRESCOTT ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.09850,42.38537,25,017,351300,1400000US25017351300,25017351300,3513,CT,515813,0
12019800,05/25/2012 10:42:00 AM,XX,PROSPECT ST,,B,28,23F,THEFT FROM MOTOR VEHICLE,-71.09569,42.37694,25,017,351203,1400000US25017351203,25017351203,3512.03,CT,407690,0
10040906,12/12/2010 12:51:00 PM,XX,PURITAN RD,,S,31,23F,THEFT FROM MOTOR VEHICLE,-71.08732,42.39699,25,017,350103,1400000US25017350103,25017350103,3501.03,CT,891195,227873
14004583,02/09/2014 09:02:45 PM,XX,PUTNAM RD,,S,31,220,BURGLARY/BREAKING AND ENTERING,-71.08730,42.39783,25,017,350103,1400000US25017350103,25017350103,3501.03,CT,891195,227873
6041692,12/02/2006 03:10:00 PM,XX,ROSELAND ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.11686,42.38675,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
9003576,01/28/2009 02:06:00 PM,XX,SHORE DR,,S,34,240,MOTOR VEHICLE THEFT,-71.08880,42.39849,25,017,350103,1400000US25017350103,25017350103,3501.03,CT,891195,227873
8005542,02/17/2008 12:49:00 AM,XX,SHORE DR,,S,34,23F,THEFT FROM MOTOR VEHICLE,-71.08880,42.39849,25,017,350103,1400000US25017350103,25017350103,3501.03,CT,891195,227873
14022584,07/10/2014 01:51:25 PM,XX,TUFTS ST,,S,16,220,BURGLARY/BREAKING AND ENTERING,-71.08939,42.38304,25,017,351404,1400000US25017351404,25017351404,3514.04,CT,418512,0
14043324,12/08/2014 05:52:29 PM,XX,TUFTS ST,,S,16,220,BURGLARY/BREAKING AND ENTERING,-71.08939,42.38304,25,017,351404,1400000US25017351404,25017351404,3514.04,CT,418512,0
