Week Number,Tract Number,Abandoned property,ISD-Buildings,Illegal parking,Power outage,Street light issue,TV/monitor pick up
12,350300,0.0,0.0,4.0,0.0,1.0,1.0
12,350400,0.0,1.0,5.0,0.0,1.0,0.0
12,350500,1.0,0.0,1.0,0.0,0.0,1.0
12,350700,1.0,0.0,1.0,0.0,0.0,1.0
12,350800,0.0,0.0,3.0,0.0,0.0,2.0
12,350900,0.0,1.0,1.0,0.0,0.0,3.0
12,351000,0.0,3.0,6.0,1.0,0.0,0.0
12,351100,0.0,0.0,5.0,0.0,1.0,2.0
12,351203,0.0,0.0,5.0,0.0,0.0,3.0
12,351204,0.0,0.0,2.0,0.0,0.0,2.0
12,351300,0.0,0.0,3.0,1.0,0.0,4.0
12,351403,0.0,1.0,4.0,0.0,0.0,1.0
12,351404,1.0,0.0,1.0,0.0,2.0,2.0
12,351500,0.0,0.0,4.0,0.0,0.0,0.0
13,350104,1.0,3.0,2.0,0.0,0.0,1.0
13,350200,0.0,2.0,3.0,0.0,0.0,1.0
13,350300,0.0,0.0,3.0,0.0,0.0,0.0
13,350400,0.0,0.0,5.0,0.0,1.0,5.0
13,350500,0.0,0.0,2.0,0.0,0.0,3.0
13,350600,1.0,1.0,1.0,0.0,0.0,1.0
13,350700,0.0,0.0,3.0,0.0,0.0,4.0
13,350800,0.0,0.0,0.0,0.0,1.0,4.0
13,350900,0.0,0.0,2.0,0.0,0.0,1.0
13,351000,0.0,0.0,1.0,0.0,0.0,1.0
13,351100,1.0,0.0,4.0,0.0,0.0,1.0
13,351203,1.0,0.0,2.0,0.0,0.0,0.0
13,351204,0.0,1.0,5.0,0.0,0.0,1.0
13,351300,0.0,1.0,0.0,0.0,0.0,2.0
13,351403,0.0,0.0,2.0,0.0,0.0,0.0
13,351404,0.0,1.0,1.0,0.0,0.0,0.0
13,351500,1.0,0.0,7.0,0.0,0.0,0.0
13,354700,0.0,0.0,1.0,0.0,0.0,0.0
14,350103,0.0,0.0,0.0,0.0,0.0,1.0
14,350104,1.0,0.0,5.0,0.0,0.0,7.0
14,350200,0.0,2.0,2.0,0.0,1.0,4.0
14,350300,0.0,0.0,1.0,0.0,0.0,3.0
14,350400,0.0,1.0,0.0,0.0,0.0,1.0
14,350500,0.0,1.0,0.0,0.0,0.0,0.0
14,350600,0.0,0.0,3.0,0.0,0.0,2.0
14,350700,0.0,1.0,0.0,1.0,0.0,1.0
14,350800,0.0,0.0,2.0,0.0,1.0,0.0
14,350900,0.0,0.0,3.0,0.0,0.0,1.0
14,351000,0.0,1.0,3.0,1.0,0.0,0.0
14,351100,0.0,1.0,3.0,0.0,0.0,0.0
14,351203,0.0,3.0,1.0,0.0,0.0,0.0
14,351204,1.0,0.0,4.0,0.0,1.0,1.0
14,351403,0.0,0.0,2.0,0.0,0.0,4.0
14,351404,0.0,0.0,1.0,0.0,0.0,1.0
14,351500,0.0,0.0,4.0,0.0,0.0,0.0
