incnum,dtreported,stnum,stname1,stname2,loctype,ra,offensecode,offense,X,Y
8033841,09/21/2008 12:49:00 PM,XX,IRVING ST,,S,112,23F,THEFT FROM MOTOR VEHICLE,-71.1219,42.400894
6040226,11/18/2006 11:15:00 PM,XX,JOY ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.086645,42.378338
8007019,02/29/2008 03:12:00 PM,XX,JOY ST,,S,26,220,BURGLARY/BREAKING AND ENTERING,-71.086645,42.378338
10015913,05/17/2010 08:58:00 AM,XX,MUNROE ST,,S,22,23F,THEFT FROM MOTOR VEHICLE,-71.094015,42.382182
14036459,10/20/2014 11:49:48 AM,XX,NORTH ST,,S,131,23F,THEFT FROM MOTOR VEHICLE,-71.129745,42.408278
8016747,05/19/2008 01:20:00 PM,XX,NORTH ST,,S,131,220,BURGLARY/BREAKING AND ENTERING,-71.129745,42.408278
7017238,05/19/2007 05:15:00 PM,XX,OSSIPEE RD,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.125613,42.40454
15044739,09/08/2015 10:02:34 PM,XX,OSSIPEE RD,,S,120,220,BURGLARY/BREAKING AND ENTERING,-71.125613,42.40454
11030674,09/17/2011 01:31:00 AM,XX,PUTNAM RD,,S,31,220,BURGLARY/BREAKING AND ENTERING,-71.088169,42.398323
9039272,10/22/2009 03:12:00 PM,XX,SCHOOL ST,,S,46,220,BURGLARY/BREAKING AND ENTERING,-71.099891,42.385285
10028465,08/23/2010 11:58:00 AM,XX,SUMMER ST,,S,50,23F,THEFT FROM MOTOR VEHICLE,-71.101374,42.384653
8042321,11/21/2008 06:11:00 PM,XX,SYCAMORE ST,,S,43,220,BURGLARY/BREAKING AND ENTERING,-71.099613,42.39115
14041474,11/25/2014 12:34:02 AM,XX,SYCAMORE ST,,S,43,240,MOTOR VEHICLE THEFT,-71.099613,42.39115
